node_id,node_type,zone_id,side,has_kansen,has_sidou,lon,lat,intersection_type,is_signalized,juusin_kansen,juusin_sidou,priority,notes
B-513243371-N,BOUNDARY,513243371,N,1,1,,,,,,,1.0,
B-513243371-S,BOUNDARY,513243371,S,1,1,,,,,,,1.0,
B-513243371-W,BOUNDARY,513243371,W,0,1,,,,,,,1.0,
B-513243372-E,BOUNDARY,513243372,E,0,0,,,,,,,1.0,
B-513243372-N,BOUNDARY,513243372,N,1,0,,,,,,,1.0,
B-513243372-S,BOUNDARY,513243372,S,0,0,,,,,,,1.0,
B-513243372-W,BOUNDARY,513243372,W,1,1,,,,,,,1.0,
B-513243373-E,BOUNDARY,513243373,E,0,1,,,,,,,1.0,
B-513243373-N,BOUNDARY,513243373,N,1,0,,,,,,,1.0,
B-513243373-S,BOUNDARY,513243373,S,1,1,,,,,,,1.0,
B-513243373-W,BOUNDARY,513243373,W,1,1,,,,,,,1.0,
B-513243374-E,BOUNDARY,513243374,E,1,0,,,,,,,1.0,
B-513243374-N,BOUNDARY,513243374,N,1,0,,,,,,,1.0,
B-513243374-S,BOUNDARY,513243374,S,1,1,,,,,,,1.0,
B-513243374-W,BOUNDARY,513243374,W,0,1,,,,,,,1.0,
B-513243381-E,BOUNDARY,513243381,E,1,1,,,,,,,1.0,
B-513243381-N,BOUNDARY,513243381,N,1,1,,,,,,,1.0,
B-513243381-S,BOUNDARY,513243381,S,0,0,,,,,,,1.0,
B-513243381-W,BOUNDARY,513243381,W,0,0,,,,,,,1.0,
B-513243382-E,BOUNDARY,513243382,E,0,0,,,,,,,1.0,
B-513243382-N,BOUNDARY,513243382,N,1,1,,,,,,,1.0,
B-513243382-S,BOUNDARY,513243382,S,0,0,,,,,,,1.0,
B-513243382-W,BOUNDARY,513243382,W,0,0,,,,,,,1.0,
B-513243383-E,BOUNDARY,513243383,E,1,1,,,,,,,1.0,
B-513243383-N,BOUNDARY,513243383,N,1,1,,,,,,,1.0,
B-513243383-S,BOUNDARY,513243383,S,1,0,,,,,,,1.0,
B-513243383-W,BOUNDARY,513243383,W,1,1,,,,,,,1.0,
B-513243384-E,BOUNDARY,513243384,E,0,1,,,,,,,1.0,
B-513243384-N,BOUNDARY,513243384,N,1,1,,,,,,,1.0,
B-513243384-S,BOUNDARY,513243384,S,1,1,,,,,,,1.0,
B-513243384-W,BOUNDARY,513243384,W,1,1,,,,,,,1.0,
B-513243393-E,BOUNDARY,513243393,E,0,0,,,,,,,1.0,
B-513243393-N,BOUNDARY,513243393,N,0,0,,,,,,,1.0,
B-513243393-S,BOUNDARY,513243393,S,0,0,,,,,,,1.0,
B-513243393-W,BOUNDARY,513243393,W,0,1,,,,,,,1.0,
B-513243434-E,BOUNDARY,513243434,E,1,1,,,,,,,1.0,
B-513243434-N,BOUNDARY,513243434,N,0,0,,,,,,,1.0,
B-513243434-S,BOUNDARY,513243434,S,0,0,,,,,,,1.0,
B-513243434-W,BOUNDARY,513243434,W,0,0,,,,,,,1.0,
B-513243441-E,BOUNDARY,513243441,E,1,1,,,,,,,1.0,
B-513243441-N,BOUNDARY,513243441,N,1,1,,,,,,,1.0,
B-513243441-S,BOUNDARY,513243441,S,1,1,,,,,,,1.0,
B-513243441-W,BOUNDARY,513243441,W,0,0,,,,,,,1.0,
B-513243442-E,BOUNDARY,513243442,E,1,1,,,,,,,1.0,
B-513243442-N,BOUNDARY,513243442,N,1,1,,,,,,,1.0,
B-513243442-S,BOUNDARY,513243442,S,1,1,,,,,,,1.0,
B-513243442-W,BOUNDARY,513243442,W,1,1,,,,,,,1.0,
B-513243443-E,BOUNDARY,513243443,E,1,0,,,,,,,1.0,
B-513243443-N,BOUNDARY,513243443,N,1,1,,,,,,,1.0,
B-513243443-S,BOUNDARY,513243443,S,1,1,,,,,,,1.0,
B-513243443-W,BOUNDARY,513243443,W,1,1,,,,,,,1.0,
B-513243444-E,BOUNDARY,513243444,E,1,1,,,,,,,1.0,
B-513243444-N,BOUNDARY,513243444,N,1,1,,,,,,,1.0,
B-513243444-S,BOUNDARY,513243444,S,1,1,,,,,,,1.0,
B-513243444-W,BOUNDARY,513243444,W,1,0,,,,,,,1.0,
B-513243451-E,BOUNDARY,513243451,E,1,1,,,,,,,1.0,
B-513243451-N,BOUNDARY,513243451,N,1,1,,,,,,,1.0,
B-513243451-S,BOUNDARY,513243451,S,1,1,,,,,,,1.0,
B-513243451-W,BOUNDARY,513243451,W,1,1,,,,,,,1.0,
B-513243452-E,BOUNDARY,513243452,E,1,1,,,,,,,1.0,
B-513243452-N,BOUNDARY,513243452,N,1,1,,,,,,,1.0,
B-513243452-S,BOUNDARY,513243452,S,1,1,,,,,,,1.0,
B-513243452-W,BOUNDARY,513243452,W,1,1,,,,,,,1.0,
B-513243453-E,BOUNDARY,513243453,E,1,1,,,,,,,1.0,
B-513243453-N,BOUNDARY,513243453,N,1,1,,,,,,,1.0,
B-513243453-S,BOUNDARY,513243453,S,1,1,,,,,,,1.0,
B-513243453-W,BOUNDARY,513243453,W,1,1,,,,,,,1.0,
B-513243454-E,BOUNDARY,513243454,E,1,1,,,,,,,1.0,
B-513243454-N,BOUNDARY,513243454,N,1,1,,,,,,,1.0,
B-513243454-S,BOUNDARY,513243454,S,1,1,,,,,,,1.0,
B-513243454-W,BOUNDARY,513243454,W,1,1,,,,,,,1.0,
B-513243461-E,BOUNDARY,513243461,E,1,0,,,,,,,1.0,
B-513243461-N,BOUNDARY,513243461,N,1,1,,,,,,,1.0,
B-513243461-S,BOUNDARY,513243461,S,1,1,,,,,,,1.0,
B-513243461-W,BOUNDARY,513243461,W,1,1,,,,,,,1.0,
B-513243462-E,BOUNDARY,513243462,E,1,1,,,,,,,1.0,
B-513243462-N,BOUNDARY,513243462,N,1,1,,,,,,,1.0,
B-513243462-S,BOUNDARY,513243462,S,1,1,,,,,,,1.0,
B-513243462-W,BOUNDARY,513243462,W,1,0,,,,,,,1.0,
B-513243463-E,BOUNDARY,513243463,E,1,0,,,,,,,1.0,
B-513243463-N,BOUNDARY,513243463,N,1,1,,,,,,,1.0,
B-513243463-S,BOUNDARY,513243463,S,1,1,,,,,,,1.0,
B-513243463-W,BOUNDARY,513243463,W,1,1,,,,,,,1.0,
B-513243464-E,BOUNDARY,513243464,E,1,1,,,,,,,1.0,
B-513243464-N,BOUNDARY,513243464,N,1,1,,,,,,,1.0,
B-513243464-S,BOUNDARY,513243464,S,1,1,,,,,,,1.0,
B-513243464-W,BOUNDARY,513243464,W,1,0,,,,,,,1.0,
B-513243471-E,BOUNDARY,513243471,E,1,1,,,,,,,1.0,
B-513243471-N,BOUNDARY,513243471,N,1,1,,,,,,,1.0,
B-513243471-S,BOUNDARY,513243471,S,1,0,,,,,,,1.0,
B-513243471-W,BOUNDARY,513243471,W,1,1,,,,,,,1.0,
B-513243472-E,BOUNDARY,513243472,E,1,1,,,,,,,1.0,
B-513243472-N,BOUNDARY,513243472,N,1,1,,,,,,,1.0,
B-513243472-S,BOUNDARY,513243472,S,1,0,,,,,,,1.0,
B-513243472-W,BOUNDARY,513243472,W,1,1,,,,,,,1.0,
B-513243473-E,BOUNDARY,513243473,E,1,1,,,,,,,1.0,
B-513243473-N,BOUNDARY,513243473,N,1,1,,,,,,,1.0,
B-513243473-S,BOUNDARY,513243473,S,1,1,,,,,,,1.0,
B-513243473-W,BOUNDARY,513243473,W,1,1,,,,,,,1.0,
B-513243474-E,BOUNDARY,513243474,E,1,1,,,,,,,1.0,
B-513243474-N,BOUNDARY,513243474,N,1,1,,,,,,,1.0,
B-513243474-S,BOUNDARY,513243474,S,1,1,,,,,,,1.0,
B-513243474-W,BOUNDARY,513243474,W,1,1,,,,,,,1.0,
B-513243481-E,BOUNDARY,513243481,E,1,1,,,,,,,1.0,
B-513243481-N,BOUNDARY,513243481,N,1,1,,,,,,,1.0,
