zone_id,segments_total,count_Nat,count_Pref,count_Muni,count_Other,len_Nat_m,len_Pref_m,len_Muni_m,len_Other_m,length_total_m,score,juusinkukaku_kansen,juusinkukaku_sidouseikatudou,kyoukaikukaku_kansen_left,kyoukaikukaku_kansen_right,kyoukaikukaku_kansen_bottom,kyoukaikukaku_kansen_top,kyoukaikukaku_sidouseikatudou_left,kyoukaikukaku_sidouseikatudou_right,kyoukaikukaku_sidouseikatudou_bottom,kyoukaikukaku_sidouseikatudou_top
513243464,190,23,29,69,69,1434.68,1561.9,2641.16,929.1,6566.84,46.32,11772,11475,11466,tran_090e8607-b8f1-4e30-a585-67989b3549c0,11778,15550,,11410,11422,8712
513243471,227,84,43,80,20,2758.84,1997.79,1994.27,189.87,6940.77,25.72,tran_4a4abe70-ea89-4c49-829c-7b566f6ced9a,tran_84ca2e19-87f3-4698-b0ed-f06b0ce30622,tran_6da331c4-b955-452d-9142-258e7d0b8a13,tran_afadeb4e-e86a-4c14-a293-5286d9b9a7ed,tran_c037efc6-633a-4a68-a7fc-e3b448f83244,tran_868e53bd-99ed-4f51-b49a-7447b16a4263,11392,tran_d32dcb47-878f-4079-a5d0-64ef4a450582,,tran_b3b2b905-2801-4b76-8c29-fc6f15dc9f6c
513243472,186,80,46,54,6,3512.04,1719.75,1430.29,37.98,6700.06,17.64,tran_1b1bd41a-ee60-4bfe-9e87-f98f855f45ae,tran_a04f8ee8-9481-4862-a2a1-c8bd70c8d937,tran_bf63a880-7595-43cb-914c-d92890e074b4,17906,16383,tran_afadeb4e-e86a-4c14-a293-5286d9b9a7ed,tran_d32dcb47-878f-4079-a5d0-64ef4a450582,17808,,tran_8c8e3752-964f-440e-89d2-fa6f9f666bb7
513243473,242,94,45,68,35,2918.44,1552.12,2178.86,243.11,6892.53,28.82,tran_1d31c9ab-ced1-4984-83c8-db6d85831c78,tran_2f0653a2-46dd-407c-bd22-6225abd81841,tran_090e8607-b8f1-4e30-a585-67989b3549c0,tran_ad104dcd-afbd-43f2-9a3d-de2b7c32f386,tran_868e53bd-99ed-4f51-b49a-7447b16a4263,tran_2e481174-f713-4cc7-b8fe-24428977eaf9,tran_d879ac76-a0b2-4957-a0bb-3b782268d777,tran_b2e292d7-8b20-4160-a668-e555d6a0cbe9,tran_b3b2b905-2801-4b76-8c29-fc6f15dc9f6c,tran_db10298f-7115-44bb-bde3-a607cfcd22ff
513243474,241,99,54,75,13,3459.89,2207.06,2029.6,184.58,7881.13,22.94,tran_940f985f-4103-4538-a845-558c72f6cda9,tran_db223364-d89f-4b6b-882f-c001a421cf76,tran_ac644def-da41-4d62-a5e5-29d180855bdf,tran_94cf875b-0fc1-4c19-88ad-b9fe4189d0e0,tran_afadeb4e-e86a-4c14-a293-5286d9b9a7ed,15457,tran_b2e292d7-8b20-4160-a668-e555d6a0cbe9,tran_37a0a7db-474e-424a-a6fd-267bddc0e9f6,tran_8c8e3752-964f-440e-89d2-fa6f9f666bb7,15405
513243481,240,31,49,105,55,1653.36,2500.77,3333.22,759.14,8246.49,41.54,18556,18548,17836,18500,17729,17992,17808,17774,18540,17913
513243482,174,32,30,84,28,2448.05,1624.63,2119.84,327.45,6519.97,31.03,17800,17796,18500,,15237,17937,17774,17748,18588,17898
513243483,391,18,50,196,127,1031.16,2352.95,6613.43,2024.38,12021.92,60.85,18052,18264,tran_94cf875b-0fc1-4c19-88ad-b9fe4189d0e0,7991,17992,7971,tran_37a0a7db-474e-424a-a6fd-267bddc0e9f6,18066,17913,18198
513243484,241,14,22,165,40,1225.02,986.14,5158.83,734.42,8104.41,59.99,18023,18035,18206,18145,17937,7991,18066,17971,17898,18200
513243491,3,0,0,2,1,0,0,42.15,3.12,45.27,81.38,,18609,,,,,17748,,,
