zone_id,boundary_type,side,is_present,boundary_id,kyoukaikukaku_kansen,kyoukaikukaku_sidouseikatudou,length_total_m,score
513243483,kansen,W,1,513243483_W,tran_94cf875b-0fc1-4c19-88ad-b9fe4189d0e0_7991_17992_7971,tran_37a0a7db-474e-424a-a6fd-267bddc0e9f6_18066_17913_18198,12021.92,60.85
513243484,kansen,W,1,513243484_W,18206_18145_17937_7991,18066_17971_17898_18200,8104.41,59.99
513243491,kansen,W,0,513243491_W,,17748,45.27,81.38
513243493,kansen,W,1,513243493_W,18145,17971,321.74,5.74
513243532,kansen,W,0,513243532_W,6986,7134,206.01,33.64
513243534,kansen,W,0,513243534_W,6860_9795,6883,1243.44,10.71
513243541,kansen,W,1,513243541_W,6986_6905_14728_6750,6987_6702_6566_6723,8377.71,44.35
513243542,kansen,W,1,513243542_W,6905_2098_7154_7108,6715_6684_14729_6730,6303.15,40.59
513243543,kansen,W,1,513243543_W,6860_6773_6750_6901,6883_6857_6723_6906,6885.08,48.61
513243544,kansen,W,1,513243544_W,6773_2371_7108_9989,6857_6803_6726_6899,7512.08,50.93
513243551,kansen,W,1,513243551_W,2098_2057_2510,6684_2413_2072_2186,6658.49,48.84
513243552,kansen,W,0,513243552_W,2173_2073_2636,2413_8697_2077_2180,6579.67,55.25
513243553,kansen,W,1,513243553_W,2371_2484_2510_17,6803_2478_2186_3,8220.5,25.4
513243554,kansen,W,1,513243554_W,2484_8793_2636_21,2478_2299_8785_2369,6344.52,30.69
513243561,kansen,W,1,513243561_W,2173_8736_8710_8782,8697_8738_11671_8779,6019.2,37.65
513243562,kansen,W,1,513243562_W,8736_15550_8784,8738_8712_8800,6318.74,13.24
513243563,kansen,W,1,513243563_W,8793_8884_8782_8878,2299_8785_4811,6828.69,24.11
513243564,kansen,W,1,513243564_W,8884_8815_8784_4804,15559_8800_8895,5602.04,10.67
513243571,kansen,W,1,513243571_W,15550_15499_tran_ad104dcd-afbd-43f2-9a3d-de2b7c32f386_15551,15439_tran_db10298f-7115-44bb-bde3-a607cfcd22ff_15523,7685.22,49.74
513243572,kansen,W,1,513243572_W,15499_8515_15457_15552,15439_8120_15405_15522,7123.77,41.61
513243573,kansen,W,1,513243573_W,8815_15582_15551_15601,15559_15523_15613,6964.56,12.49
513243574,kansen,W,1,513243574_W,15582_15605_15552_tran_2b0554d8-cac9-4789-89d1-5849aca3f908,15522,5238.71,6.86
513243581,kansen,W,1,513243581_W,8515_8393_7971_8212,8120_8065_18198_8553,8270.71,45.12
513243582,kansen,W,1,513243582_W,8393_8005_7991_8603,8065_8674_18200_8148,9897.79,53.56
513243583,kansen,W,1,513243583_W,15605_8243_8212_3415,8140_8256,5417.03,30.92
